profile,result
"第一次
SPASS,马来西亚人,Diploma,在新加坡工作了10年，船厂公司，薪水2500+
顺便sponsor老婆和几个月大的孩子一起申请。老婆WP,admin工薪水2200+

2016尾apply，2017十月Reject了，十分失望


第二次
2018年尾再去apply，2019五月就批了，爽！
在这其中，男去读parttimedegree,女去读parttimediploma,
男女工钱也有提升，女的也拿到了SPass",通过
"NTUPHD,工作3个月

",通过
"SPASS,设计，在小新工作经验7年，第一次申请，新加坡居住。
",通过
"男，28周岁，已婚无孩，国内985本科，本地msc2014毕业，工程师，四年工作经验，Basic4000+,单独申请（老婆是PR，本地学历）。第一次申请三个月秒拒。第二次希望能成功。
2018希望大家都顺利！16monthsapprove.2018Decsubmitparents'CV
",通过
"sm系列来新6年，NTU本科毕业，科研工作，毕业半年申请，pending12个月，认识的同届同学中pending最久了，希望可以快点通过
",通过
"
NUSMaster，国内本，来新三年工作两年。等待6个月被拒。半年后再试吧TAT",失败
马来西亚男的学历pmr来新加坡8年拿SP快两年现在的年薪70K,通过
"女，独生女，28岁，NTUMASTER，EP，3.4K，来新4年，第一次申请，走的老公担保。老公PR三年，正在申请公民，来新十年，28岁，非独子，NTU本科，法国高商MASTER，IT行业，月薪5k。
感恩，四个月通过啦。",通过
"
24岁女中国人单身在新加坡读中学在新9年poly现在工作文员一年半申请Spass薪水2k+申请第三次父母在新工作在等待祝好运！",通过
"
老公主申,老婆副申,双方来新7年半,公立master,IT行业,家庭年薪190k.没有孩子。中途一方换工作，重新提交资料,第一次申请，历时10个月，通过！",通过
"中国couple，申请时男月薪6K（本地PhD)，女4.5K(本地MBA）,均&lt;30岁。等了近一年，幸好是好结果。祝各位好运。",通过
来新4年，poly毕业，交了3个月工资单，pending了6个月，今天刚批,通过
"夫妻一起，男主申，来新5年，本地公立大学PhD.两人收入和~10k/月
",通过
"马来西亚，27岁，单身，就讀本地
diploma，spass，薪水2.5k，来新8年，第一次申请",通过
"25岁单身男，国内985本科毕业，NUSmaster毕业，工作一年首次申请
",失败
"
老公sponsor，pr两年半，SM1，来新17年，NUS本科+master，月薪4600。老婆来新2年半，国内本科+ntumaster，月薪3000，第一次申请",通过
夫妻，15年3月份来新，annualsalaryintotal&gt;300K.BothholdsEPandmasterdegree.夫主申，香港人,通过
"女，独生女，28岁，NTUMASTER，EP，3.4K，来新4年，第一次申请，走的老公担保。老公PR三年，正在申请公民，来新十年，28岁，非独子，NTU本科，法国高商MASTER，IT行业，月薪5k。
感恩，四个月通过啦。
",通过
"来信4年，本地masterEPholder薪水5K+去年跟公民结婚拿到PR可以辞职了
",通过
"国内211+nus硕
月收入6k
单身女
来坡6年

",通过
"男，中国籍。2009年6月来新读小一，参加了PSLE和OLevel
正等待下一阶段的学习

",通过
"单身，2k++，等待中
",通过
"sp,单身女，薪水2800，来新加坡7年多，本地读了一个私立大专，目前是幼师，pending6个多月，杯具！",失败
30多岁夫妻+3岁儿子（EP+DP+DP），老公欧美人，公司高管，我是985毕业的普通小白领，两人月薪加起来30k，儿子新加坡出生。,通过
"SM1奖学金，JC2因成绩表现被取消奖学金，在淡马锡理工学习IT三年，拿了半年S
Pass在私人小公司做全职软件开发，NUS录取后辞职，然后NUS学习CS四年，其中第三年在美国硅谷全职实习一年，17年6月本科毕业，9月拿EP在一家MNC做外包项目，18年四月申请PR，十月底找到新工作，新东家在十一月中旬成功办理新的EP后辞职，12月初收到EP通过的信，当时仍然处于旧公司辞职后的通知期
",通过
"SM1奖学金，JC2因成绩表现被取消奖学金，在淡马锡理工学习IT三年，拿了半年S
Pass在私人小公司做全职软件开发，NUS录取后辞职，然后NUS学习CS四年，其中第三年在美国硅谷全职实习一年，17年6月本科毕业，9月拿EP在一家MNC做外包项目，18年四月申请PR，十月底找到新工作，新东家在十一月中旬成功办理新的EP后辞职，12月初收到EP通过的信，当时仍然处于旧公司辞职后的通知期
",通过
"EP(acca)+SP,来新7年+。去年11提交（汗?），补交过两次材料，所以一直被延后。期间宝宝出生，12月初ICA打电话询问要不要带宝宝一起申请（填表）。补交材料后两个周APPROVED.
",通过
EP+DP建筑业，来新10年，申请超过5次，最后APPEAL成功,通过
"
來新三年多香港公立大學畢業銀行業",通过
"
来新9年多中学到poly毕业做工加读兼职大学已批",通过
"19歲女JC2來新加坡6年中學AEIS考到政府中學O-LEVEL考到RI
",通过
夫妻双EP，女方主申，工资均4.5k左右。,失败
"
LTVP,本科，来新1年2个月，工作8个月，月薪3000.",通过
Poly毕业，持SP，兼职NTU本科在读。申请时薪水2300。3个多月通过，感恩,通过
"国内985本科，nus硕士，工作两年，工资4000，被拒
",失败
"老公（30岁，来新10年，工程师，拿spass半年，主申请，ite和poly,
2.8k),带老婆（wp，spm,1.6k),和儿子（5岁）,都是大马藉，住新山，第一次申请）。附加文件（现在和前公司推荐信，coverletter)

",通过
"
POLY毕业来新6年4个月通过",通过
"
马来西亚PR老婆sponsor，PR1年，master，，月薪3.8k。老公中国籍，在新工作8年，WP，月薪1.8k，制造业。ROM完一个月就申请。上个星期叫我们补交结婚证书。今天终于approved了，拿到IPA了！祝大家好运！
",通过
"
马来西亚PR老婆sponsor，PR1年，master，，月薪3.8k。老公中国籍，在新工作8年，WP，月薪1.8k，制造业。ROM完一个月就申请。上个星期叫我们补交结婚证书。今天终于approved了，拿到IPA了！祝大家好运！
",通过
"马来西亚女27岁来新8年薪水2.5k老公担保先生singaporean首次申请
",通过
来新7年，nus本科毕业，工作半年申请，等待3个半月通过,通过
"在新10年，小5开始，然后中学，poly。工作6个月后申请。做admin.等了7个多月，approve了。

",通过
"
6年，AEIS上中二，JC2
",通过
来新2年，it业，首次申请，薪水3k。,通过
"男25岁,首申，本地公立大学本科会计商科毕业，拿EP半年后申请PR，工资4.6k，18年1月25号申请的，等了8个月了，终于通过。大家goodluck！
",通过
"本地大学毕业薪资3.3k工作6个月
",通过
老婆PRsponsor我，我是poly+ntu半年工资单申请老婆跟我工资都不高年龄25-30段,通过
"Approvedin4months,veryefficient.annualsalary95k,inSingaporefor7years,localuniversitygrads,
chinese
",通过
"
14年来新，NUSMSc,家庭收入9K,带儿子和老公。第二次申请。",失败
男，单身，新加坡6年，工资8000+，咨询行业,通过
"LTVP女28岁老公SC结婚1年半宝宝SC9个月在家带宝宝老公薪水4000左右7个月通过，中途老公换过工作
",通过
"马国男，EP，30岁，本科毕业，来新4年半，第一次申请通过，祝大家好运
",通过
"SM2,本地本硕,首申
",通过
EP+DP建筑业6000+2300.女儿幼儿园。第5次申请.希望好运.,失败
"Poly+NUS
来新8年
工资4250
5个月整批准",通过
中国女，单身，非本地学历，MBA，美国企业工作，工资9K，来新加坡3年，首次申请,通过
"来新两年半，女，27岁单身，美国本科，EPHolder月薪6k，提交后第七个月被拒。可能是待得不久而且两年内换工作较频繁（一年换一次）吧，近期换了工作和ICA更新了雇主信息后被拒
",失败
"老公基本工资3.3K，实际工资3.8K，IT支持。EPQ1。
老婆物流行业工资1.6KDP
孩子4岁，上本地幼儿园。
来新5年。中间申请过3次均被拒。此为第四次申请。
",失败
"中国护照，美国本科，新加坡读的英国研究生。EP工作一年，IT专业，工资4000。还在等待结果中
六月份工资上涨到4500，九月份查被拒",失败
"
一家三口申请，丈夫主申请BASIC5K,再读NTU的parttimeMaster,太太工作，儿子拿DP。",失败
"男，现21岁。08年来新就读，政府小学和中学，现在poly第三年。之前申请过几次都被拒绝。现在还在pending。
学生新政策，需服兵役
",通过
"新加坡十年，Sec1-Poly-工作，等待的时间八个半月，不过应该是新政第一批Approve的，五个月工资单申请。看着这个网站几个月，我觉得批PR应该是筛选那批最可能成为公民的人去批准。
",通过
"2011年9月來新加坡,S-PASS2年,上次申請是2012年1月,拿S-PASS4個月就申請,接近2個月,ICA來信說不符合他們條件,多1年半在交表格.
2015年8月拿E-PASS2個月,第二次申請PR.2015年12月,E-Passcancel.
2016年3月在拿E-PASS,狀態是Withdrawn.
2016年11月11日,第三次申請PR,官員問我第二次申請PR狀態變Withdrawn,為何沒打電話給ICA詢問;過後,我的申請就被取消了.
2017年5月，ICArejecter我的申请，耗时半年的批准期。
2017年10月，我寫APPEAL信給ICA，提交我馬來西亞9月份結婚註冊證書。
2017年11月，離職效忠1年7個月的公司。
2018年4月，正式在新公司上班。7月份，提交新公司的資料，ICA所要求的資料。
2018年9月5日，收到ICA的通過PR的信，發信日是9月1日。",通过
"
老公主申请，spass
薪水$3200，连同两名女儿一起申请，这是第二次申请了，第一次申请等了四个月就被reject,这一次申请等了十一个月十六天，终于approved了，等待的过程好煎熬。谢天谢地最终批了。在此也祝愿大家好运?

",通过
"中国人住新加坡13年小学中学poly都在新加坡读毕业做admin专业不对口学的engine拿的SP薪水单3个月薪水2.4k
希望过4月10多号左右收到补家庭资料，8月20通过，8月23收到信",通过
"SPass,TARUC(马来西亚)Degree文凭，薪水S$2600，来新工作2年半。
",通过
"中四学生，从小一开始在新就读，第一次申请时是收到邀请信，不过没成功；这是第二次申请，又被拒了
",失败
"
国内普通本科学历，老婆大专，2013年来新加坡，半导体行业工程师职位，SP,老婆之前WP,目前看孩子，和儿子都拿DP,我申请时底薪4700，年收入9w+,申请时拿到加薪的文件，大概700多，全家一起申请，等了五个月，结果一查被拒了，现在已经八月了，打算十月份再申请，不晓得申请几次能通过！
",失败
OLevel+ITE+Poly+SPass工作一年老板推荐信历时5个月~,通过
"2008年10月来新加坡，读初中，BCA，结婚，工作2年，期间跟母亲申请2次，跟老婆申请1次，这是第四次，以我主要申请，之前都是辅助，希望这次可以批准！

整整6个月被拒，本周打算继续申请（原因换了个工作，新系统没办法提交任何文件，换护照，换工资薪水）",失败
"OLevel+Polygraduatewith6monthsofworkexp.Approvedafter7monthspending.Receivedletterbefore
systemupdates.Goodlucktotherest!
",通过
"malaysia男，2015年到新加坡读poly，2017年毕业，工作7个月后申请。
（更新）等了8个月终于通过了",通过
"
女，来新10年，政府中学，初院，国大，毕业工作半年后申请，8个月收到补交父母材料通知，提交两周后批准",通过
男主申请，薪水6K+，来新5年多，女薪水2K+，来新3年多。都是国内普通本科，IT行业，独生子女。5月份有收到补充父母工作的表格，8月5日查网上显示通过，历时将近9个月。,通过
"
老公主老婆和孩子（1儿1女）一起申请。7个半月收到好消息。",通过
"
老公主老婆和孩子（1儿1女）一起申请。7个半月收到好消息。",通过
"
男，马来西亚人在新加坡工作14年，SP底薪2600，老婆SP底薪2500，带着一个孩子申请

",通过
"女，18岁，poly第一年就读。自2007年在新加坡从小一就读，政府小学和初中。6个多月被拒绝
",失败
"马来西亚，EP，在新12年～～结果还是被拒
",失败
夫妻一起申请，老公是主申请人，国内958硕士，薪水1W+，来新4年，我中国本科，新加坡硕士，3K+，来新3年。历时8个月通过，祝大家好运！,通过
"
来新9年，poly，ntu毕业，薪水basic3000，女，单身",失败
"国内985本科，工科非IT专业，IT行业7年经验，EP，薪水5.5kbase。
独生/单身，来新3年，第二次申请，近期EPrenew之后收到ICA拒信。",失败
"
来坡8年，NUS本科毕业生，申请九个半月终于approve了。提交申请两个月后补交过父母材料，之后杳无音信。。。祝大家好运~",通过
"NTU本科，来新6.5年，IT工作1年。中途没有补交材料。祝大家好运
",通过
"
私立学生12.19新政后1.11申请来新3年，男，被拒",失败
"来新17年多。中学，poly。小时不懂事，poly没读完。后面拿了私立学校的degree。现在工作，EP，basic6200.
申请3次被拒。第三次被拒后，去年12月5日上诉。7月12号再次失败。孩子们，好好读书啊，我现在后悔都来不及。哭。",失败
"EP+DP夫妻带女儿申请，国内211本科，申请时来新9年+，薪水7200，妻子LOC工作薪水2850，期间提交过EP,DP更新及薪水单

",通过
国内本科NTUMaster共计工作经验四年国外工作一年中国工作半年新加坡工作一年半月薪4500六个月被拒,失败
"男19,来新第13年,从小学1年级读到目前SPYear2就读。新政策出来后马上就提交申请资料,等了6个月，信是6月22日出的,今天7月5号才收到拒信。其实被拒绝是我自己预料之内的事,
反正就觉得自己和PR没什么缘分。感觉没什么申诉的必要,再过一年就要毕业了。
(哪位大神可以把我的情况分享到论坛里面,想听听大家的看法,因为我木有账号)
",失败
"11年来新，中学毕业poly在读第三年学生证
",失败
2011年来新加坡，私立本科+NTU硕士，澳洲硕士Part-time在读，工作半年，高等教育领域工作。薪水3.3K+，2018年6月26日网上查rejected，准备上诉。,失败
"夫妻兩一同申請，SPASS，台灣人，第一次申請，醫院工作人員，工作4年，薪6K+6k,2018五月通過，今天拿證了。沒有什麼是絕對的，因為沒有人知道標準。大家加油",通过
BCA毕业，老公新加坡人，2017八月领证，2017十一月从form4A（那时候已等六个月）换成了Form4，等了七个多月，终于批了！,通过
"夫妻带女儿申请，男36，国内master，贸易，EP,薪水10k+，女，国内本科，贸易，SP,薪水4k+,来新6年
",通过
"Spass，马来西亚男，单身27岁，来新8年，服务业basic$2kplus.第一次申请,七个月多rejected",失败
28岁，男(单身)，国内本科，新加坡国立大学博士毕业。来新5年，毕业后在新加坡政府工作一年，年薪70k。申请10个月后批准通过，等待的过程真是煎熬。祝大家好运。,通过
"Thisismy2ndtimesubmittedPRapplicationasconventionalwayatICAbuilding.statuspendingaround9
months,finallygotapproval.Workinginsg8years.basicsalary2600,diploma,35age,female,single.
",通过
"2ndtimeapply...MalaysianFamily
Wife-SP/BasicS$2700/Diploma
Husband-WP/BasicS$2300/Diploma
Child-3yearsold
",通过
"30男，$4500,来新4年半，211本科，EP中小型公司市场部，去年Pending5个月被拒，目前第二次申请。

",失败
28歲馬來西亞男SP在新工作三年薪水$2700第一次申請大學學歷17年11月遞交資料18年6月批准個人感覺身邊的朋友SP比較容易申請成功反而是EP被拒給大家參考加油,通过
"
夫妻一起申请...老婆是马来西亚，新加坡私立diploma会计…持有EP...………老公是中国人，新加坡poly毕业…持有SP，。。第一次申请。。。希望一次就能pass…………
等了10个月又18天…终于approved了…超开心
",通过
"
MalaysianFemale33岁单身大学文凭在新加坡工作三年以SPass申请PR.等了7个月后终于通过!
",通过
"男主申请人+妻子+女儿一起申请，男36，国内MASTER，EP,月薪10+K，贸易公司，女33，SP,国内本科,4+k
",通过
"国内985本硕来坡读博，有过两次失败经历，都在parttime博士期间申请。
这一次申请在博士毕业即申请，仍旧在学校做博士后，几乎等待十个月才通过。本地学历才是硬通货。",通过
"本硕国内211，NTUPhD毕业，毕业后继续在NTU做ResearchFellow，工作10个月时申请的，中间补过一次父母的信息，申请历时6个半月，批准时来新5年多

",通过
"
poly毕业，毕业9个月开始申请，在新加坡呆了5年。有Olevel成绩，月薪2,000.00.4个月通过。",通过
"马来西亚女，29岁，来新10年，第二次申请，会计师，月薪3000
",通过
"女，28，单身。来新五年了，马来西亚拉曼大学毕业生。刚开始以WORKPERMIT，薪水千八，然后期间换了四分工作。在第四份工，好不容易申请到EP，薪水也随这跳槽升到新币2400，
拿了EP后的第六个月，直接申请PR。经历了九个月的等待。在第七个月等待时候，途中交了父母资料。接着等了三个月。昨天网上查看，终于批了。希望给大家做参考。",通过
"来自马来西亚，呆在新加坡已有五年，马来西亚拉曼大学学士毕业。刚来新的时候是workpermit薪水1800,换了四份工(薪水慢慢随着换工提升），第四份工，好不容易，这家公司才愿意给我EP，
薪水2400，拿了EP后的六个月直接申请PR，（因为害怕新加坡政府随时会变更或突然不能renewEP)
在等待的第六个月中，要求补交父母资料，（备注；记得若薪水不高要确定父母是有做工的，因为新加坡只要年轻人不要老人,除非你高薪）补交后，等了三个月，今天在网上查看，才知道approved了。今年28，女，单身申请。

",通过
"老婆sponsor，老婆中学,poly,毕业工作，20175月公民批准，8月领证.申请时老婆月薪2.3K。本人2015来新，从事制造业，月薪3K.半年通过。
",通过
"
马来西亚人/男/26岁/EPholder/来新三年/单身/月薪$6500/公司老板director/公司本地员工10名-15名/等了八个月被拒/
",失败
"
FemaleEPholderfromMay2016withUSmasterdegree,appliedwithson.

傻等了七个月十天，中间什么消息没有，就批了。批准时来新加坡满两年二十天。


",通过
"
nus本科毕业，sm3，工作一年多，去年10月3号申请，5月2号收到补交父母信息的信，5月24号网上通过，历时将近八个月。祝愿大家好运！！！",通过
"29岁马国男，来新加坡10年，2017五月拿到EP。工钱3800。申请交了SPM和一些技术文凭。4月19号电邮3年的NOA。15号收到信，网上还在pending。祝大家好运！
",通过
"
老公pr,自己新加坡政府poly毕业",通过
"985本硕，2013来新，2017年9月NTU毕业PhD，拿SPass继续在NTU当临时工，工资3400，申请时只有半个月工资单，没有Annex
A。其实还没有准备好，但是因为很久以前预约的timeslot，不想浪费，所以硬着头皮交了申请。换工作后已经做好准备重新申请，还没有update给ICA,居然就通过了。单人申请，期间没有补交任何材料，ICA也没有联系我，感觉ICA的系统知道MOM的系统里面我的新的工作信息。祝大家早日批准!
",通过
"12年来新，NUSPhD，16年底毕业，毕业后拿EP做ResearchFellow一年，之后在一家跨国公司做DataScientist至今。最新更新：三月底更新了家庭成员信息
",通过
"国内本科+NUSmaster，工作4年申请的。单身女，不报希望的第三次申请。
5/7查通过，中间没收到补材料的信。给众多单身master希望！加油！
",通过
国内博士，来坡3+年，政府科研单位，月薪5000，九个月approve.期间没有任何消息,通过
"本地O水准+Poly+国大本科26￥3150带老婆27￥1500+600申请，一月在新加坡领证，5个月20天收信补父母材料。男方父母公务员，女方父母国企。母亲都退休。补材料以后2个月还是BEING
PROCESSED。更新：补材料3个月有余，再次写信去ICA，依旧是BEINGPROCESSED。

经过12个月的漫长等待，PR通过了。我猜测硬件无大伤的申请人，一个人差不多6到8个月，两个人是12个月以上。去年三月申请的被卡了一波，周围很多同学也是差不多4月才批下来。顺带提供另一个信息，我太太WP在PR批下来3天后去割的卡，之后回国。并没有什么问题，只需在办理期间给ICA提供合法的签证就可以了。哪怕是白卡。代领IC只能在ICA柜台代领，不能去邮局或者ICA的自助机。

祝愿大家好运。
",通过
"Chinabachelordegree985school,cameSgin2009,Sg1-yrMscmaster,EPholdersince2010,basicsalary
8.5k,applied3timesbefore,allfailed.Female,single,32
",失败
"Poly+Secondary中三开始读，Spass半导体行业Basic2200,Gross3600三个月工资单直接申请，六个月整批",通过
通过！！！！,通过
"2017.3.30第四次申请,2017.9月被拒,11月申述,2018.4.9日查再次被拒.相当于申请5次都被拒.目前来新8年.做IT行业薪水5.5K,EP,老婆SP
2.7K,小孩在这边上幼儿园.就这样吧,不知道ICA要什么条件",失败
"来新加坡12年，私校本科，EP薪水5k，老婆来新加坡3年EP5.5k，第三次申请秒拒，感觉不是本地学校毕业基本没希望
",失败
"老公sponsorPR2年半本地大学毕业工资4k+申请人幼师2k+求好运6个半月感恩感恩
",通过
"3年poly，三年NTU,工作半年，工资3k2,3月29收到信网上还是pending
",通过
"4.5k,本地本科,国外master.第一份工作9个月.单身女26.12月18让补父母信息不再坡。。回坡后1月9日补交。。继续等...网上查通过了。。回家等信
",通过
"本人在新加坡待了16年2002来新加坡现在2018了
私立diploma学校貌似倒了。加上有culinary的WSQ
职位manager月薪4500但是被拒绝，
个人一直觉得在新加坡待得久了一般会好申请一点但现在看来好像不是这么回事。

",失败
"国内博士，带俩男娃，媳妇读博士，第二次申请
来新两年半，工资basic9000++，还在pending
最新更新：九月中更新了家庭成员信息
2018-3-19日，已批准，历时10个月
",通过
"
test
",通过
"马来西亚女生，在新工作接近4年，SPass第一次申请，保佑?

更新，等待9个月又14天，终于approved了！很开心，祝大家好运
",通过
"sm2nus本科大四时申请，中间被要求补过材料。miss了两封ICA的信，其实可以更早拿到。
",通过
夫妻一起申请，提交申请时两人在新工作8年，等了9个多月批准。新的一年祝大家好运。,通过
"第四次申请，夫妻申请，无孩，妻主申请（在新工作五年半）

更新：pending了将近十个月，期间按要求补了一次家庭信息，终于通过了，开心，祝大家好运!",通过
"两夫妻拿PR十多年今年第一次帮3个孩子申请，儿子18岁刚上大一大女儿16岁小女儿14岁希望可以通过。。。等了10个多月终于批准了祝大家好运
",通过
"
国内本科，本地博士刚毕业，科研岗位，十月份按要求补交父母资料，刚批准，这个情人节和新年礼物拿得很开心！",通过
"
test",失败
在坡岛9年半，本地sec3-JC-大学，毕业EP，软件工程师，月薪4.8k，6个月工资单出完申请。,通过
"马来西亚夫妻28岁，发型师EPIte文凭,女美容师wp等了9个月还在痴痴的等，紧张整整一年！好失望啊！",失败
"
国内普通二本，NTU硕士，工作2年+，Salary3K+",失败
"来新八年，2017.5.8第一次申请，2017.12.1收到信要求补交家庭成员信息，未及时查看信箱，2017.12.27才补交完资料，还在pending//
补完材料两周approved，历时八个月。finally！",通过
"夫妻共同申请。申请时男方（主）来新9个月，女方8个月。都拿EP，月薪5K+，4K+。
",失败
夫妻，第一次申请，申请时女方（主申请）来新1年8个月，男方来新8个月，双方均EP，月薪5k+，历时6个半月通过，祝大家好运！,通过
"
2011年6月来新,通过Olevel，Poly毕业工作9个月.

",通过
"来新近10年，WPholder7年后upgrade去Spass.
15年9月申请，9个月之后fail.
17年1月第二次申请，今天02.01.18来信批准了很开心。
历时将近一年

",通过
女，35，带3岁女儿申请，银行业，月薪10K+，英国硕士，来新2年，9月底交了补充父母材料，希望有好结果。18年开门红啊,通过
"China985-211BScin2012,NUSPhDin2017April,NUSRFsinceMay,4K+SPass.",通过
"
工作半年，来新一年，加拿大本科学历",失败
"14K+3K,一孩儿，第二次申，来了三年。",通过
"Dpr国内普通大学毕业来新7年整第四年结婚ltvp+老公sc儿子sc结婚三年后申请申请时拿loc工作半年还拿了会计的diploma现读acca当提升薪水2000+老公3500+
申请后自己11月辞职拿到来年1月的offer刚买resaleOTP完就收到IPA信历时5个月Approved！当圣诞礼物！",通过
"中国人来新十二年，全家申请，工资3.5K+第二次申请，顺利通过！！！感恩！
",通过
"中国人来新十二年，全家申请，工资3.5K+第二次申请，顺利通过！！！感恩！

",通过
"男方主申请人，国内211本科，EP，小公司director，月薪10K，在新加坡7年；女方国内本科澳洲硕士，EP，IT创业公司就职，月薪5K，在新加坡两年。历时8个月整，终于拨开云雾。
",通过
"单身独生，sm，政府科研工资3000，EP,三个月工资条申请,
8月下补退休父母材料。12/13写了一封email给ICA，问他们收没收到父母材料，12/14就收到回复，并且当天就批了，也不知道是不是巧合。再也不用每天查status了，也祝大家都好运。",通过
